descriptor,reason,r
Mordred_NsPH2,constant,
Mordred_NsPbH3,constant,
Mordred_NsSH,constant,
Mordred_NsSeH,constant,
Mordred_NsSiH3,constant,
Mordred_NsSnH3,constant,
Mordred_NssAsH,constant,
Mordred_NssBH,constant,
Mordred_NssBe,constant,
Mordred_NssGeH2,constant,
Mordred_NssNH2,constant,
Mordred_NssPH,constant,
Mordred_NssPbH2,constant,
Mordred_NssS,constant,
Mordred_NssSe,constant,
Mordred_NssSiH2,constant,
Mordred_NssSnH2,constant,
Mordred_NsssAs,constant,
Mordred_NsssB,constant,
Mordred_NsssGeH,constant,
Mordred_NsssNH,constant,
Mordred_NsssP,constant,
Mordred_NsssPbH,constant,
Mordred_NsssSiH,constant,
Mordred_NsssSnH,constant,
Mordred_NsssdAs,constant,
Mordred_NssssB,constant,
Mordred_NssssBe,constant,
Mordred_NssssGe,constant,
Mordred_NssssN,constant,
Mordred_NssssPb,constant,
Mordred_NssssSi,constant,
Mordred_NssssSn,constant,
Mordred_NsssssAs,constant,
Mordred_NsssssP,constant,
Mordred_NtCH,constant,
Mordred_NtN,constant,
Mordred_NtsC,constant,
Mordred_PEOE_VSA11,constant,
Mordred_PEOE_VSA4,constant,
Mordred_PEOE_VSA5,constant,
Mordred_SMR_VSA2,constant,
Mordred_SMR_VSA8,constant,
Mordred_SRW03,constant,
Mordred_SaaN,constant,
Mordred_SaaNH,constant,
Mordred_SaaO,constant,
Mordred_SaaS,constant,
Mordred_SaaSe,constant,
Mordred_SaaaC,constant,
Mordred_SaasN,constant,
Mordred_SdCH2,constant,
Mordred_SdNH,constant,
Mordred_SdS,constant,
Mordred_SdSe,constant,
Mordred_SddC,constant,
Mordred_SddsN,constant,
Mordred_SddssS,constant,
Mordred_SddssSe,constant,
Mordred_SdsCH,constant,
Mordred_SdsN,constant,
Mordred_SdssS,constant,
Mordred_SdssSe,constant,
Mordred_SdsssP,constant,
Mordred_SlogP_VSA8,constant,
Mordred_SlogP_VSA9,constant,
Mordred_SsAsH2,constant,
Mordred_SsGeH3,constant,
Mordred_SsI,constant,
Mordred_SsLi,constant,
Mordred_SsNH3,constant,
Mordred_SsPH2,constant,
Mordred_SsPbH3,constant,
Mordred_SsSH,constant,
Mordred_SsSeH,constant,
Mordred_SsSiH3,constant,
Mordred_SsSnH3,constant,
Mordred_SssAsH,constant,
Mordred_SssBH,constant,
Mordred_SssBe,constant,
Mordred_SssGeH2,constant,
Mordred_SssNH2,constant,
Mordred_SssPH,constant,
Mordred_SssPbH2,constant,
Mordred_SssS,constant,
Mordred_SssSe,constant,
Mordred_SssSiH2,constant,
Mordred_SssSnH2,constant,
Mordred_SsssAs,constant,
Mordred_SsssB,constant,
Mordred_SsssGeH,constant,
Mordred_SsssNH,constant,
Mordred_SsssP,constant,
Mordred_SsssPbH,constant,
Mordred_SsssSiH,constant,
Mordred_SsssSnH,constant,
Mordred_SsssdAs,constant,
Mordred_SssssB,constant,
Mordred_SssssBe,constant,
Mordred_SssssGe,constant,
Mordred_SssssN,constant,
Mordred_SssssPb,constant,
Mordred_SssssSi,constant,
Mordred_SssssSn,constant,
Mordred_SsssssAs,constant,
Mordred_SsssssP,constant,
Mordred_StCH,constant,
Mordred_StN,constant,
Mordred_StsC,constant,
Mordred_Xc-5d,constant,
Mordred_Xc-5dv,constant,
Mordred_Xc-6d,constant,
Mordred_Xc-6dv,constant,
Mordred_Xch-3d,constant,
Mordred_Xch-3dv,constant,
Mordred_Xch-4d,constant,
Mordred_Xch-4dv,constant,
Mordred_n10AHRing,constant,
Mordred_n10ARing,constant,
Mordred_n10FAHRing,constant,
Mordred_n10FARing,constant,
Mordred_n10FHRing,constant,
Mordred_n10FRing,constant,
Mordred_n10FaHRing,constant,
Mordred_n10FaRing,constant,
Mordred_n10HRing,constant,
Mordred_n10Ring,constant,
Mordred_n10aHRing,constant,
Mordred_n10aRing,constant,
Mordred_n11AHRing,constant,
Mordred_n11ARing,constant,
Mordred_n11FAHRing,constant,
Mordred_n11FARing,constant,
Mordred_n11FHRing,constant,
Mordred_n11FRing,constant,
