descriptor,reason,r
n11AHRing,constant,
n12AHRing,constant,
nG12AHRing,constant,
nFRing,constant,
n4FRing,constant,
n5FRing,constant,
n6FRing,constant,
n7FRing,constant,
n8FRing,constant,
n9FRing,constant,
n10FRing,constant,
n11FRing,constant,
n12FRing,constant,
nG12FRing,constant,
nFHRing,constant,
n4FHRing,constant,
n5FHRing,constant,
n6FHRing,constant,
n7FHRing,constant,
n8FHRing,constant,
n9FHRing,constant,
n10FHRing,constant,
n11FHRing,constant,
n12FHRing,constant,
nG12FHRing,constant,
nFaRing,constant,
n4FaRing,constant,
n5FaRing,constant,
n6FaRing,constant,
n7FaRing,constant,
n8FaRing,constant,
n9FaRing,constant,
n10FaRing,constant,
n11FaRing,constant,
n12FaRing,constant,
nG12FaRing,constant,
nFaHRing,constant,
n4FaHRing,constant,
n5FaHRing,constant,
n6FaHRing,constant,
n7FaHRing,constant,
n8FaHRing,constant,
n9FaHRing,constant,
n10FaHRing,constant,
n11FaHRing,constant,
n12FaHRing,constant,
nG12FaHRing,constant,
nFARing,constant,
n4FARing,constant,
n5FARing,constant,
n6FARing,constant,
n7FARing,constant,
n8FARing,constant,
n9FARing,constant,
n10FARing,constant,
n11FARing,constant,
n12FARing,constant,
nG12FARing,constant,
nFAHRing,constant,
n4FAHRing,constant,
n5FAHRing,constant,
n6FAHRing,constant,
n7FAHRing,constant,
n8FAHRing,constant,
n9FAHRing,constant,
n10FAHRing,constant,
n11FAHRing,constant,
n12FAHRing,constant,
nG12FAHRing,constant,
GGI6,constant,
GGI7,constant,
GGI8,constant,
GGI9,constant,
GGI10,constant,
JGI6,constant,
JGI7,constant,
JGI8,constant,
JGI9,constant,
JGI10,constant,
SRW03,constant,
SRW05,constant,
SRW07,constant,
SRW09,constant,
ATSC5c,near_constant_std<0.01,
ATSC6c,near_constant_std<0.01,
ATSC7c,near_constant_std<0.01,
ATSC8c,near_constant_std<0.01,
ATSC7se,near_constant_std<0.01,
ATSC8se,near_constant_std<0.01,
AATSC2c,near_constant_std<0.01,
AATSC3c,near_constant_std<0.01,
AATSC4c,near_constant_std<0.01,
AATSC1se,near_constant_std<0.01,
Xp-7dv,near_constant_std<0.01,
ETA_epsilon_3,near_constant_std<0.01,
ATS6dv,correlated_with_ATSC8dv,1.0000000000000004
ATS8Z,correlated_with_ATS8m,1.0000000000000002
ATS8p,correlated_with_ATS8are,1.0000000000000002
ATSC8Z,correlated_with_ATS8are,1.0000000000000002
ATSC8dv,correlated_with_ATS8are,1.0000000000000002
ATSC8m,correlated_with_ATS8are,1.0000000000000002
ATSC8p,correlated_with_ATS8are,1.0000000000000002
ATSC8v,correlated_with_ATS8are,1.0000000000000002
ATS8d,correlated_with_ATS8m,1.0000000000000002
ATS8i,correlated_with_ATSC8i,1.0000000000000002
ATS8s,correlated_with_ATS8m,1.0000000000000002
ATS8se,correlated_with_ATSC8i,1.0000000000000002
ATSC8pe,correlated_with_ATSC8d,1.0000000000000002
ATSC8i,correlated_with_ATSC8s,1.0000000000000002
SaaN,correlated_with_NaaN,1.0000000000000002
Xc-4d,correlated_with_Xc-4dv,1.0000000000000002
NssssC,correlated_with_Xc-4dv,1.0000000000000002
SssssC,correlated_with_Xc-4dv,1.0000000000000002
Xp-7d,correlated_with_MPC7,1.0000000000000002
nAcid,correlated_with_PEOE_VSA13,1.0000000000000002
ATSC8s,correlated_with_ATS8are,1.0
ATS8v,correlated_with_ATS8m,1.0
ATSC8are,correlated_with_ATS8m,1.0
ATS8pe,correlated_with_ATS8are,1.0
BIC5,correlated_with_BIC4,1.0
CIC5,correlated_with_CIC4,1.0
ETA_beta_ns_d,correlated_with_AETA_beta_ns_d,1.0
HybRatio,correlated_with_FCSP3,1.0
IC5,correlated_with_IC4,1.0
MIC5,correlated_with_MIC4,1.0
MPC7,correlated_with_piPC7,1.0
n6HRing,correlated_with_NaaN,1.0
n6aHRing,correlated_with_NaaN,1.0
nHRing,correlated_with_NaaN,1.0
naHRing,correlated_with_NaaN,1.0
NdssC,correlated_with_NdO,1.0
SsBr,correlated_with_NsBr,1.0
SsI,correlated_with_NsI,1.0
SIC5,correlated_with_SIC4,1.0
apol,correlated_with_Sp,1.0
SpAbs_A,correlated_with_SpAD_A,1.0
SpMax_D,correlated_with_SpAD_D,1.0
TIC5,correlated_with_TIC4,1.0
TopoPSA(NO),correlated_with_TopoPSA,1.0
ETA_shape_x,correlated_with_Xc-4dv,1.0
ETA_eta_RL,correlated_with_Xp-1d,1.0
ZMIC5,correlated_with_ZMIC4,1.0
nARing,correlated_with_n6ARing,1.0
nAromAtom,correlated_with_n6aRing,1.0
nAromBond,correlated_with_n6aRing,1.0
nBondsA,correlated_with_n6aRing,1.0
nBondsD,correlated_with_NdO,1.0
nBondsO,correlated_with_MWC01,1.0
nBr,correlated_with_NsBr,1.0
nCl,correlated_with_NsCl,1.0
nI,correlated_with_NsI,1.0
nRing,correlated_with_n6Ring,1.0
naRing,correlated_with_n6aRing,1.0
ATS8m,correlated_with_ATS8are,0.9999999999999999
SpAD_D,correlated_with_SpAbs_D,0.9999999999999999
SpMax_A,correlated_with_SpDiam_A,0.9999999999999999
ATSC8d,correlated_with_ATS8are,0.9999999999999998
VE3_Dzse,correlated_with_VE3_Dzpe,0.9999999617101445
VE3_Dzare,correlated_with_VE3_Dzpe,0.9999997502588219
