descriptor,reason,r
VE1_Dzi,correlated_with_VE1_D,0.9999509384075534
VR2_Dzi,correlated_with_VR2_Dzare,0.9999486360896223
SpAbs_Dzp,correlated_with_SpAD_Dzp,0.9999470299543852
VR1_Dzare,correlated_with_VR1_Dzm,0.9999440012956239
BCUTs-1h,correlated_with_BCUTdv-1h,0.9999434953869641
ATS7are,correlated_with_ATS7pe,0.9999411945518688
Sare,correlated_with_Spe,0.9999406498303596
ATSC1Z,correlated_with_ATSC1m,0.9999398995746486
SpDiam_Dzse,correlated_with_SpDiam_Dzpe,0.9999373461717672
VE2_Dzp,correlated_with_VE2_Dzv,0.999923615830602
VE1_Dzv,correlated_with_VE1_Dzp,0.9999189329053134
ATS5are,correlated_with_ATS5pe,0.9999111920190005
VR3_Dzv,correlated_with_VR3_Dzm,0.9999037102275373
ATS6are,correlated_with_ATS6pe,0.9999027307704886
ATS2pe,correlated_with_ATS2are,0.9998976857563091
ATS1are,correlated_with_ATS1pe,0.9998956960060086
VR1_D,correlated_with_VR1_Dzm,0.9998844735760798
ATS4are,correlated_with_ATS4pe,0.9998834434131082
ATS3are,correlated_with_ATS3pe,0.9998707404184626
VR1_Dzp,correlated_with_VR1_Dzv,0.9998648301138903
nX,correlated_with_MID_X,0.9998632289481536
SpMax_Dzse,correlated_with_SpAD_Dzare,0.9998585963610958
SpMAD_Dzpe,correlated_with_SpMAD_Dzare,0.9998561820373727
GATS7m,correlated_with_GATS7Z,0.999837875403934
VE2_Dzv,correlated_with_VE2_Dzm,0.9998178523546015
MATS1Z,correlated_with_MATS1m,0.9998152917630361
SRW04,correlated_with_MWC02,0.9998145262740037
MATS7Z,correlated_with_MATS7m,0.9997930959764009
MWC09,correlated_with_MWC10,0.999745643925906
MZ,correlated_with_Mm,0.9997388272207984
VR1_Dzv,correlated_with_VR1_Dzm,0.9997369304524124
AATSC7m,correlated_with_AATSC7Z,0.9997322702276735
GATS6m,correlated_with_GATS6Z,0.9997030347786254
ATSC7m,correlated_with_ATSC7Z,0.9997027538455091
VE1_D,correlated_with_VE1_Dzp,0.999694030912875
Spe,correlated_with_Sse,0.9996871264333265
MATS6m,correlated_with_MATS6Z,0.999675274502194
VR3_Dzm,correlated_with_VE3_Dzp,0.9996643832002367
ATS0are,correlated_with_ATS0pe,0.9996627334638382
GATS4m,correlated_with_GATS4Z,0.9996341396651266
ATS7pe,correlated_with_ATS7se,0.9996214059613664
MATS4m,correlated_with_MATS4Z,0.9996204450191795
NdS,correlated_with_SdS,0.9996065660496269
ETA_dEpsilon_A,correlated_with_ETA_epsilon_1,0.9996019477358266
ATS1pe,correlated_with_ATS1se,0.9996001670259348
MATS5Z,correlated_with_MATS5m,0.9995900001860072
ATSC8m,correlated_with_ATSC8Z,0.9995833898521431
nAtom,correlated_with_Si,0.9995824881307469
AATSC6m,correlated_with_AATSC6Z,0.9995799009882302
AATS1m,correlated_with_AATS1Z,0.9995757219001592
ATS6se,correlated_with_ATS6pe,0.9995752124109843
MWC07,correlated_with_MWC08,0.9995610329065829
VAdjMat,correlated_with_LogEE_A,0.9995573050149907
ATS5pe,correlated_with_ATS5se,0.9995480269620952
ATS8pe,correlated_with_ATS8se,0.9995033085681806
SM1_Dzm,correlated_with_SM1_DzZ,0.9994987174572642
SaaO,correlated_with_NaaO,0.99949789766056
AATS5m,correlated_with_AATS5Z,0.999483303152642
VR2_D,correlated_with_VR2_Dzare,0.9994766104748308
MATS3m,correlated_with_MATS3Z,0.9994555864029069
VR2_Dzare,correlated_with_VR2_Dzm,0.9994513876387394
ATS4pe,correlated_with_ATS4se,0.9994443525029606
SpAD_Dzare,correlated_with_SpAbs_Dzi,0.9994372844262731
TIC5,correlated_with_TIC4,0.9994289284233163
MATS2Z,correlated_with_MATS2m,0.9994258742058202
SsCl,correlated_with_NsCl,0.9994210666185358
MWC01,correlated_with_MID,0.9994196099172858
NaaN,correlated_with_SaaN,0.9994133702361789
GATS5m,correlated_with_GATS5Z,0.9994128004474946
AATS6m,correlated_with_AATS6Z,0.9994089272913935
ATSC4m,correlated_with_ATSC4Z,0.9994028690041261
AATSC5m,correlated_with_AATSC5Z,0.9993884265243448
AATS3m,correlated_with_AATS3Z,0.999381981110796
Si,correlated_with_ATS0i,0.9993736094213956
SsNH2,correlated_with_NsNH2,0.9993721591260301
ATSC6m,correlated_with_ATSC6Z,0.9993573686142943
SpDiam_Dzpe,correlated_with_SpDiam_Dzi,0.9993500178141058
ATS3pe,correlated_with_ATS3se,0.999327513027271
VR1_A,correlated_with_VR2_A,0.9993135749968832
SpMAD_Dzse,correlated_with_SpMAD_Dzare,0.9993114414080166
ATSC2m,correlated_with_ATSC2Z,0.9993034947512598
AATSC4m,correlated_with_AATSC4Z,0.9992975399745565
MID,correlated_with_ETA_eta_RL,0.9992761454833228
AATS2m,correlated_with_AATS2Z,0.999269964755235
GATS3m,correlated_with_GATS3Z,0.9992697188637791
NsF,correlated_with_SsF,0.9992506426335754
AATSC2m,correlated_with_AATSC2Z,0.9992338388220297
MWC04,correlated_with_SRW06,0.9992045877597903
MWC06,correlated_with_MWC05,0.9991863431269145
ETA_dEpsilon_C,correlated_with_ETA_epsilon_4,0.9991858812237125
BCUTv-1l,correlated_with_BCUTpe-1h,0.9991735338778109
AATSC3m,correlated_with_AATSC3Z,0.9991297162481056
AATS4m,correlated_with_AATS4Z,0.9991190424127538
AATS0se,correlated_with_Mse,0.9991187012663837
SaasN,correlated_with_NaasN,0.999033181762407
BCUTse-1h,correlated_with_BCUTpe-1h,0.9990285252458673
VR2_Dzp,correlated_with_VR2_Dzv,0.9990154323822478
BCUTZ-1l,correlated_with_BCUTm-1l,0.9989862888026457
