ID,SMILES,CAS-ID,Exp_log (rat toxicity)
82,CCC(C)C1=CC(=CC(=C1OC(=O)C=C(C)C)[N+]([O-])=O)[N+]([O-])=O,485-31-4,3.745
83,CO[P](=S)(OC)OC1=CC=C(C(=C1)Cl)[N+]([O-])=O,500-28-7,3.019
84,NC1=C(Cl)C=C(C=C1Cl)[N+]([O-])=O,99-30-9,1.936
85,CC(=O)C1=CC=CC=C1[N+]([O-])=O,577-59-3,2.014
86,CO[P](=O)(OC)OC1=CC(=C(C=C1)[N](=O)=O)C,2255-17-6,4.037
87,CC(C)C(=O)NC1=CC(=C(C=C1)[N+]([O-])=O)C(F)(F)F,13311-84-7,2.545
88,C[S](=O)(=O)NC1=C(OC2=CC=CC=C2)C=C(C=C1)[N](=O)=O,51803-78-2,3.188
89,NC(=O)C1=CC(=CC(=C1)[N+]([O-])=O)[N+]([O-])=O,121-81-3,2.228
90,[O-][N+](=O)C1=C(C=CC=C1Cl)C2=C[NH]C=C2Cl,1018-71-9,2.109
91,NC1=CC=C(C=C1)C2=CC=C(N)C=C2[N+]([O-])=O,2243-78-9,2.06
92,NC1=CC=C(Cl)C(=C1)[N+]([O-])=O,635-22-3,2.63
93,NC1=C(C=C(Cl)C=C1[N+]([O-])=O)[N+]([O-])=O,5388-62-5,2.74
94,OC1=C(C=CC=C1)[N+]([O-])=O,88-75-5,2.62
95,[O-][N+](=O)C1=CC=CC(=C1)[N+]([O-])=O,99-65-0,3.45
96,CC1=C(C=C(C=C1N)[N+]([O-])=O)[N+]([O-])=O,35572-78-2,2.15
97,CC1=C(C=C(N)C=C1[N+]([O-])=O)[N+]([O-])=O,19406-51-0,2.31
98,CC1=C(C=C(C=C1)[N+]([O-])=O)[N+]([O-])=O,121-14-2,2.83
99,NC1=CC(=C(C=C1Cl)[N+]([O-])=O)Cl,6627-34-5,1.87
100,NC1=NC(=C(C=C1)[N+]([O-])=O)Cl,84487-03-6,1.99
101,[O-][N+](=O)C1=CC=CC(=C1)Cl,121-73-3,2.57
102,NC1=CC=C(C(=C1)N)[N+]([O-])=O,5131-58-8,1.53
103,OC(=O)C1=CC(=CC(=C1O)[N](=O)=O)[N](=O)=O,609-99-4,2.42
104,[O-][N+](=O)C1=CN=C(Cl)C(=C1)[N+]([O-])=O,2578-45-2,3.61
105,OC1=C(C=C(C=C1)[N+]([O-])=O)[N+]([O-])=O,51-28-5,3.79
106,CC1=CC=CC(=C1[N+]([O-])=O)[N+]([O-])=O,602-01-7,2.3
107,[O-][N+](=O)C1=CC(=CC(=C1)[N+]([O-])=O)[N+]([O-])=O,99-35-4,2.89
108,CC1=C(C=CC=C1[N+]([O-])=O)[N+]([O-])=O,606-20-2,3.01
109,CC1=CC(=CC(=C1)[N+]([O-])=O)[N+]([O-])=O,618-85-9,2.93
110,CC1=C(C=C(C=C1[N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O,118-96-7,2.57
111,CCCCN1C(=O)C2=CC=C(C=C2C1=O)[N](=O)=O,54395-37-8,2.27
112,NC(=O)C1=CC=C(C=C1)[N+]([O-])=O,619-80-7,2.54
113,CCCCN1C(=O)C2=C(C1=O)C(=CC=C2)[N+]([O-])=O,54395-36-7,2.09
114,NC(=O)C1=CC=C(Cl)C(=C1)[N+]([O-])=O,16588-06-0,1.89
115,CC1=CC(=CC=C1[N+]([O-])=O)[N+]([O-])=O,619-15-8,2.55
116,[O-][N+](=O)C1=CC=C(Cl)C=C1,100-00-5,2.57
117,NC1=CC=C(F)C(=C1)[N+]([O-])=O,364-76-1,2.15
118,OC1=CC=C(C=C1)[N+]([O-])=O,100-02-7,2.84
119,NC1=C(C=C(C=C1Br)[N+]([O-])=O)[N+]([O-])=O,1817-73-8,1.81
120,[O-][N+](=O)C1=C(Cl)C(=C(Cl)C(=C1Cl)Cl)Cl,82-68-8,2.43
121,[O-][N+](=O)C1=C(Cl)C=CC=C1,88-73-3,2.77
122,[O-][N+](=O)C1=C(Cl)C(=CC(=C1Cl)Cl)Cl,117-18-0,1.54
123,[O-][N+](=O)C1=CC=C(Cl)C(=C1)Cl,99-54-7,2.3
124,OC1=CC=CC(=C1)[N+]([O-])=O,554-84-7,2.63
125,[O-][N+](=O)C1=CC=CC=C1,98-95-3,2.55
126,CC1=CC(=CC=C1[N+]([O-])=O)O,2581-34-2,2.11
127,CC1=CC=CC=C1[N+]([O-])=O,88-72-2,2.19
128,CC1=CC(=C(C)C=C1)[N+]([O-])=O,89-58-7,1.79
129,NC(=O)C1=CC=CN=C1,98-92-0,1.54
130,[O-][N+](=O)C1=CC2=C3C=CC=CC3=CC=C2O1,69267-51-2,2.69
131,CC1=CC=C(C=C1)[N+]([O-])=O,99-99-0,1.84
132,CCN(CC1=C(Cl)C=CC=C1F)C2=C(C=C(C=C2[N+]([O-])=O)C(F)(F)F)[N+]([O-])=O,62924-70-3,2.13
133,CCOC(=O)COC(=O)C1=C(C=CC(=C1)OC2=C(Cl)C=C(C=C2)C(F)(F)F)[N+]([O-])=O,77501-90-7,2.48
134,OC1=C(NN=C2C(=O)C3=C(C=C(C=C3NC4=NC(=NC(=N4)Cl)Cl)[S](O)(=O)=O)C=C2[S](O)(=O)=O)C=C(C=C1)[N+]([O-])=O,73826-58-1,1.84
135,OC(=O)C1=C(Cl)C=CC(=C1Cl)Cl,50-31-7,2.54
136,OC(=O)C1=CC=C(C=C1)[N+]([O-])=O,62-23-7,1.93
137,CC1(C)NC(=O)N(C2=CC(=C(C=C2)[N+]([O-])=O)C(F)(F)F)C1=O,63612-50-0,3.21
138,[O-][N+](=O)C1=CC=C(OC2=C(Cl)C=C(Cl)C=C2Cl)C=C1,1836-77-7,1.47
139,FC(F)(F)C1=CC(=C(OC2=CC=C(C=C2)[N](=O)=O)C=C1)Cl,42874-01-1,2.5
140,CCOC1=CC(=CC=C1[N+]([O-])=O)OC2=CC=C(C=C2Cl)C(F)(F)F,42874-03-3,1.86
